"","name","symbol","ticker"
"1","Bitcoin","BTC","$BTC"
"2","Ethereum","ETH","$ETH"
"3","Ripple","XRP","$XRP"
"4","Bitcoin Cash","BCH","$BCH"
"5","Litecoin","LTC","$LTC"
"6","Dash","DASH","$DASH"
"7","NEM","XEM","$XEM"
"8","NEO","NEO","$NEO"
"9","IOTA","MIOTA","$MIOTA"
"10","Monero","XMR","$XMR"
"11","Ethereum Classic","ETC","$ETC"
"12","BitConnect","BCC","$BCC"
"13","OmiseGO","OMG","$OMG"
"14","Qtum","QTUM","$QTUM"
"15","Zcash","ZEC","$ZEC"
"16","Lisk","LSK","$LSK"
"17","Cardano","ADA","$ADA"
"18","Waves","WAVES","$WAVES"
"19","Tether","USDT","$USDT"
"20","Stratis","STRAT","$STRAT"
"21","Stellar Lumens","XLM","$XLM"
"22","Steem","STEEM","$STEEM"
"23","Ark","ARK","$ARK"
"24","Kyber Network","KNC","$KNC"
"25","Hshare","HSR","$HSR"
"26","Bytecoin","BCN","$BCN"
"27","Gas","GAS","$GAS"
"28","EOS","EOS","$EOS"
"29","Augur","REP","$REP"
"30","TenX","PAY","$PAY"
"31","Basic Attention Token","BAT","$BAT"
"32","MaidSafeCoin","MAID","$MAID"
"33","Ardor","ARDR","$ARDR"
"34","Walton","WTC","$WTC"
"35","Golem","GNT","$GNT"
"36","Iconomi","ICN","$ICN"
"37","PIVX","PIVX","$PIVX"
"38","SALT","SALT","$SALT"
"39","Komodo","KMD","$KMD"
"40","TRON","TRX","$TRX"
"41","Decred","DCR","$DCR"
"42","ChainLink","LINK","$LINK"
"43","BitShares","BTS","$BTS"
"44","Factom","FCT","$FCT"
"45","Binance Coin","BNB","$BNB"
"46","GameCredits","GAME","$GAME"
"47","DigixDAO","DGD","$DGD"
"48","Metal","MTL","$MTL"
"49","Siacoin","SC","$SC"
"50","Gnosis","GNO","$GNO"
